FID,osm_id,man_made,operator,ref,name,owner,location,colour,ref-FR-PTT,ref-FR-Orange,street_cabinet,telecom,telecom-medium,ref-FR-SFR,description,note,source,osm_version,osm_timestamp,the_geom,osm_original_geom,osm_type
telecom_exchange_point.461926560,461926560,telephone_office,Orange,,,,,,76088BSS,,,exchange,copper,,,,ANFR Opendata,2,2018-06-30T12:54:21Z,POINT (99596.96513854308 6354408.452584668),"SRID=3857;POLYGON((99589.0769994925 6354408.767633838,99596.7691763063 6354400.768420558,99603.97154736063 6354407.51722098,99604.32776973117 6354409.007439067,99597.22558621857 6354415.99605154,99589.0769994925 6354408.767633838))",way
telecom_exchange_point.464799351,464799351,telephone_office,Orange,,Central téléphonique,,,,,,,exchange,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,4,2024-03-14T17:58:50Z,POINT (-21649.511639679487 5308085.921867425),"SRID=3857;POLYGON((-21654.479606306937 5308084.491117605,-21650.249465656794 5308080.687444463,-21644.605567473576 5308087.610130733,-21648.579673294895 5308091.079083139,-21654.479606306937 5308084.491117605))",way
telecom_exchange_point.476908766,476908766,telephone_office,Orange,,,Orange,,,47276S4D,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,4,2020-02-18T20:21:20Z,POINT (55411.26495683273 5518378.58151932),"SRID=3857;POLYGON((55407.38411100843 5518375.239061127,55414.809121044345 5518374.881066594,55415.143079516725 5518381.932004987,55407.71806948081 5518382.274434805,55407.38411100843 5518375.239061127))",way
telecom_exchange_point.477003520,477003520,telephone_office,Orange,,,Orange,,,40134LAY,,,exchange,copper,,,,ANFR Opendata,3,2020-02-18T20:21:20Z,POINT (-101241.45492243544 5498187.664768625),"SRID=3857;POLYGON((-101249.95267017907 5498190.807897815,-101244.76518190811 5498189.115059245,-101247.88212765031 5498179.563728217,-101238.27525559485 5498176.426545244,-101232.84286444413 5498193.075370156,-101247.63722477056 5498197.905398726,-101249.95267017907 5498190.807897815))",way
telecom_exchange_point.481023089,481023089,telephone_office,Orange,,Central téléphonique,Orange,,,,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,2,2020-02-18T20:21:20Z,POINT (207669.1761762219 5306573.877465324),"SRID=3857;POLYGON((207660.45429455268 5306569.884250907,207674.50281429078 5306565.89864666,207677.89805876 5306577.870676738,207663.84953902187 5306581.856286083,207660.45429455268 5306569.884250907))",way
telecom_exchange_point.481368190,481368190,telephone_office,Orange,,Orange,,,,24356RF2,,,exchange,copper,,,,,5,2022-10-14T12:07:18Z,POINT (108966.3734039851 5629043.485189194),"SRID=3857;POLYGON((108959.65117184514 5629045.993871672,108964.8386601161 5629036.477194069,108973.09856633295 5629040.967678107,108967.8999461129 5629050.500116555,108959.65117184514 5629045.993871672))",way
telecom_exchange_point.483533115,483533115,,Orange,,,Orange,,,,33333GEW,,exchange,fibre,,NRO du Porge,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,3,2023-06-24T14:19:37Z,POINT (-121688.10433763001 5601424.883948256),"SRID=3857;POLYGON((-121694.48959910483 5601421.238906176,-121684.8604631512 5601418.222980293,-121681.96615639058 5601428.778725286,-121691.07209073748 5601431.511911267,-121694.48959910483 5601421.238906176))",way
telecom_exchange_point.486552164,486552164,telephone_office,Orange,,,,,,44143PIR,,,exchange,copper,,,,ANFR Opendata,3,2025-03-03T15:48:42Z,POINT (-172279.8801968002 5973770.308765351),"SRID=3857;POLYGON((-172314.95749481724 5973766.684550467,-172309.13548544873 5973750.36803001,-172245.90601467816 5973773.548638005,-172247.97655720692 5973779.3970414465,-172245.26036163155 5973780.330820513,-172245.30488942788 5973780.855047398,-172244.481125196 5973781.330128045,-172244.3252779089 5973782.2475252235,-172244.29188206166 5973782.886426886,-172244.57018078864 5973783.574474888,-172245.01545875182 5973784.1478482615,-172245.5720562058 5973784.590164886,-172247.16392492413 5973784.622929084,-172247.26411246584 5973784.999717341,-172249.59068982344 5973784.049555679,-172251.87273938468 5973789.783291432,-172314.95749481724 5973766.684550467))",way
telecom_exchange_point.486739211,486739211,telephone_office,Orange,,Central téléphonique,Orange,,,,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,3,2022-09-10T12:05:10Z,POINT (393590.6538050748 6332771.020987523),"SRID=3857;POLYGON((393582.60540623113 6332766.117626378,393596.1641202097 6332763.384047931,393598.7022045998 6332775.924346365,393585.1434906212 6332778.65792889,393582.60540623113 6332766.117626378))",way
telecom_exchange_point.486993196,486993196,,Orange,,Central téléphonique,,,,08311MOU,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,5,2022-12-29T23:44:30Z,POINT (565135.3138421994 6378469.141351979),"SRID=3857;POLYGON((565124.2820582528 6378469.868453694,565134.8351459801 6378457.998341231,565146.2565257355 6378468.270883309,565135.9594728372 6378480.34714872,565124.2820582528 6378469.868453694))",way
telecom_exchange_point.487460614,487460614,,Orange,,Orange,Orange,,,04235VDC,,,exchange,copper,,,,ANFR Opendata,4,2023-04-14T11:23:31Z,POINT (705968.2677240915 5506392.017351857),"SRID=3857;POLYGON((705964.221260675 5506389.250418415,705971.0674093589 5506387.991308845,705972.3141876557 5506394.784284775,705965.4680389719 5506396.0433952855,705964.221260675 5506389.250418415))",way
