FID,osm_id,man_made,operator,ref,name,owner,location,colour,ref-FR-PTT,ref-FR-Orange,street_cabinet,telecom,telecom-medium,ref-FR-SFR,description,note,source,osm_version,osm_timestamp,the_geom,osm_original_geom,osm_type
telecom_exchange_point.-18542164,-18542164,telephone_office,Orange,,Central téléphonique,Orange,,,,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,1,2025-01-12T15:36:56Z,POINT (283659.8417784109 6247004.5506410925),"SRID=3857;POLYGON((283616.69282930926 6247008.872944734,283617.4164059994 6246964.9014744405,283636.05128875823 6246965.375012136,283637.6876852729 6246965.408836258,283637.1756156152 6246988.443094771,283644.2555352297 6246988.612215841,283644.31119497505 6246983.7584424075,283697.64436301414 6246984.384190044,283697.28814064356 6247015.333387677,283697.2213489491 6247021.35411904,283697.14342530555 6247027.713098387,283697.0432377638 6247036.947156675,283694.20459074865 6247036.913332271,283678.1745840744 6247036.727298029,283643.71006972477 6247036.338317359,283644.1330837898 6246998.945519766,283636.94184468454 6246998.962431893,283636.7080737539 6247009.228099851,283616.69282930926 6247008.872944734))",way
telecom_exchange_point.-15422109,-15422109,telephone_office,Orange,,Central téléphonique Observatoire,,,,92048OBS,,,exchange,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,1,2023-02-02T13:43:21Z,POINT (247766.30265544893 6244369.992016727),"SRID=3857;POLYGON((247736.07210538146 6244360.641542814,247742.79580262533 6244353.489942792,247748.98516631348 6244347.116063227,247753.70511272317 6244342.652659699,247790.6075239211 6244378.985508995,247792.78938594062 6244381.115778608,247794.6261575387 6244385.49466783,247773.13036386657 6244393.559268959,247768.46607720226 6244395.300682789,247761.56426877316 6244388.537912639,247768.2657021189 6244382.569772462,247745.75690108046 6244360.506287911,247741.08148246718 6244365.32474515,247740.3022460316 6244364.699190901,247736.07210538146 6244360.641542814))",way
telecom_exchange_point.-8348819,-8348819,telephone_office,Orange,,,Orange,,,76351JAU,,,exchange,copper,,,,,2,2020-02-09T21:47:00Z,POINT (20197.0051779328 6360343.831204222),"SRID=3857;POLYGON((20143.25072709377 6360355.93747526,20145.610700298592 6360320.935440914,20207.059059216477 6360325.7349276785,20252.121189089594 6360336.585206092,20245.26390845673 6360370.55883844,20204.431919233757 6360360.291313448,20159.469976902354 6360357.085928419,20159.592428342225 6360356.22887381,20154.03758575164 6360355.6974999895,20154.004189904404 6360356.777388748,20143.25072709377 6360355.93747526),(20156.03020463684 6360327.997543818,20161.585047227425 6360328.546056914,20161.81881815809 6360324.672183942,20156.263975567508 6360324.140812125,20156.03020463684 6360327.997543818))",way
telecom_exchange_point.-3252890,-3252890,telephone_office,Orange,GRA,Central téléphonique,Orange,,,,,,exchange,copper,,,,,4,2020-02-09T19:10:47Z,POINT (276175.86564581894 6241953.612425961),"SRID=3857;POLYGON((276135.4330547001 6241934.465160219,276159.63391199854 6241924.98313017,276164.35385840817 6241923.090105835,276192.53995347704 6241911.867184521,276195.4676560849 6241918.763194651,276200.5660887632 6241931.558012626,276205.9316882195 6241944.572576478,276203.1598328987 6241945.586699177,276204.5624584827 6241949.220639841,276208.85939082736 6241959.6830172455,276210.19522471685 6241963.131041059,276214.4476292652 6241973.745554551,276206.7777163495 6241976.889346129,276195.30067684874 6241981.605035684,276176.2873078212 6241988.957460115,276160.14598165615 6241995.853532968,276135.4330547001 6241934.465160219),(276159.34448132245 6241943.186608988,276170.7547291288 6241972.224365496,276174.49506401946 6241970.93980606,276176.17598833045 6241971.328554289,276176.76598163164 6241971.818715123,276177.4784263727 6241973.238491503,276183.9349568387 6241970.703176712,276184.43589454726 6241970.50035156,276178.86992000765 6241957.130804439,276187.1966179189 6241953.767293381,276179.8161356794 6241935.293359426,276170.78812497604 6241938.758275353,276159.34448132245 6241943.186608988))",way
telecom_exchange_point.-2677297,-2677297,telephone_office,Orange,,LH,,,,22113LZI,,,exchange,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,5,2019-08-23T13:20:33Z,POINT (-384698.34691049583 6233819.494212249),"SRID=3857;POLYGON((-384743.4259551292 6233794.01598361,-384731.603825207 6233790.672594884,-384680.2076163078 6233775.306532328,-384680.68629011814 6233773.685498778,-384676.6119967551 6233772.4528380595,-384661.1942472803 6233767.826140517,-384656.37411332893 6233785.573085321,-384674.83088490245 6233791.736400244,-384674.22975965217 6233794.151070052,-384677.53594852873 6233794.995360359,-384671.0126263682 6233816.592334914,-384666.8381454635 6233832.026015791,-384663.2759217581 6233831.502553506,-384658.56710729754 6233848.743054102,-384734.96567382896 6233870.677884652,-384739.8637314238 6233853.79194387,-384729.4553590347 6233850.617390757,-384719.93754257186 6233847.713013416,-384722.8095854343 6233837.68278769,-384725.2363503336 6233829.189188313,-384730.51289419725 6233810.732947017,-384738.75053651596 6233813.096964704,-384743.4259551292 6233794.01598361),(-384718.7909518167 6233807.777925839,-384709.4735104373 6233840.300101342,-384692.64200342936 6233835.470736141,-384701.9594448088 6233802.948579149,-384718.7909518167 6233807.777925839))",way
telecom_exchange_point.-2466576,-2466576,telephone_office,Orange,,Central téléphonique,Orange,,,92044PER,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,3,2020-02-09T19:10:47Z,POINT (255406.1452736745 6257345.4765378935),"SRID=3857;POLYGON((255367.33489383457 6257376.730990666,255369.70599898847 6257372.260715158,255394.16289111576 6257325.441494208,255399.98490048424 6257328.878845925,255395.88834322305 6257336.4477977315,255403.736367324 6257340.443936089,255417.2950813026 6257314.350541288,255410.82741888752 6257310.337482517,255410.3042172808 6257308.830469375,255420.2005200123 6257293.845016228,255433.62565060196 6257302.531496009,255435.76298482518 6257303.919978983,255436.0301516031 6257303.4966609785,255442.0859319023 6257307.374254689,255441.80763317525 6257307.831438343,255447.05078119168 6257311.184119229,255440.00425742444 6257324.306999121,255434.7054496627 6257334.212670316,255429.41777384997 6257331.486492986,255397.3688924506 6257393.071222363,255393.21667544404 6257390.80221421,255390.68972300302 6257389.447582767,255386.93825616327 6257387.398703121,255372.12163193867 6257379.338652468,255367.33489383457 6257376.730990666),(255421.85918042515 6257316.263941289,255426.27856420964 6257319.007046468,255428.73872495617 6257315.010918234,255424.27481337535 6257312.2847470855,255421.85918042515 6257316.263941289))",way
telecom_exchange_point.-1810301,-1810301,,Orange,,Orange Marcadet,,,,75118MAR,,,exchange,copper,,,,,5,2024-11-06T17:29:59Z,POINT (259227.14890179754 6256734.594479622),"SRID=3857;POLYGON((259200.81080243533 6256710.85528451,259213.6236758256 6256707.011827106,259229.85405758326 6256702.152480373,259234.69645543274 6256715.122032221,259240.27356192152 6256730.08952928,259243.7355980852 6256739.401899408,259254.77849157187 6256769.1168944,259227.6944594619 6256759.906081379,259220.62567179656 6256757.501789923,259214.73687073356 6256743.668661504,259213.14500201523 6256739.655873284,259209.08184060125 6256730.309639732,259207.13374951237 6256725.704253078,259200.81080243533 6256710.85528451),(259220.18039383335 6256734.0853813905,259223.07470059398 6256741.315169447,259237.84679702224 6256746.479307554,259238.4590542216 6256746.140675449,259236.01002542416 6256739.164857131,259234.88569856714 6256739.53735214,259229.25293233298 6256724.078823098,259230.78914130593 6256723.469286934,259229.2974601293 6256719.676618458,259221.2824567922 6256722.097830727,259224.15449965463 6256731.173150008,259223.5867702516 6256733.052555027,259220.18039383335 6256734.0853813905))",way
telecom_exchange_point.-1708287,-1708287,,Orange,,Central téléphonique,,,,75112DID,,,exchange,copper,,,,,7,2022-07-20T16:34:32Z,POINT (266445.56123640493 6247829.656348165),"SRID=3857;POLYGON((266403.6382666724 6247812.42410711,266415.91680650687 6247808.297152627,266451.7505505932 6247796.2545756195,266468.47073811037 6247790.6392225325,266478.54515202716 6247819.646282299,266475.06085196533 6247835.883513629,266484.45621698827 6247842.158535326,266476.7974360217 6247853.03412302,266473.6582263813 6247851.021377122,266476.2297066187 6247847.6216981625,266474.2036918862 6247846.251678668,266467.23509176256 6247856.602942553,266471.97730207036 6247859.850400497,266469.37242598576 6247863.554533736,266467.23509176256 6247866.480630998,266462.103263237 6247873.804335514,266413.3230623714 6247841.143706706,266403.6382666724 6247812.42410711),(266434.0730154553 6247834.428927055,266453.04185668647 6247847.11428351,266455.19032285875 6247844.374244905,266459.1310328328 6247847.148111149,266466.05510516017 6247836.7630312145,266467.3241473552 6247825.769067959,266462.2145827278 6247811.324713304,266456.62634429 6247813.269794759,266456.0363509887 6247811.696815808,266436.0211065441 6247818.496146259,266436.5554400999 6247819.916902565,266436.09903018764 6247820.069126472,266436.64449569257 6247822.234088956,266436.86713467416 6247824.585103538,266436.6778915398 6247827.545014901,266435.72054391896 6247831.316789172,266434.0730154553 6247834.428927055))",way
telecom_exchange_point.-1261089,-1261089,telephone_office,Orange,,Central téléphonique,Orange,,,75117CAR,,,exchange,copper,,,,,4,2024-10-02T00:55:04Z,POINT (256502.89244504564 6254768.99248321),"SRID=3857;POLYGON((256444.25077971778 6254778.629017449,256445.24152318583 6254777.207093274,256447.36772546 6254774.44788395,256449.61637917405 6254771.536326615,256460.00248766504 6254758.0957784215,256463.8875378937 6254752.9836359685,256467.72806032613 6254747.803786168,256478.0696410208 6254734.39713081,256480.35169058206 6254731.400949372,256482.56694844886 6254728.574044694,256483.40184462979 6254727.422970004,256492.47438312945 6254733.889303376,256494.48926591285 6254731.231673617,256496.32603751088 6254732.48431429,256498.22960080343 6254729.758974685,256487.69877697443 6254721.97229493,256497.3613087753 6254709.46283962,256504.4634922879 6254714.69344859,256518.25597719714 6254724.9515454685,256556.3272430485 6254752.94978073,256563.40716266292 6254758.044995531,256554.39028390867 6254770.639160895,256547.44394768318 6254765.899419046,256543.51436965817 6254771.383977713,256550.39391418916 6254776.276071618,256535.54389411738 6254796.97863181,256520.83858938358 6254817.511965142,256512.73453045383 6254828.802780535,256498.24073275254 6254818.307569334,256507.11289616872 6254806.102670727,256502.22597052294 6254802.564776919,256497.35017682618 6254808.912673565,256499.10902478072 6254810.317675333,256497.50602411325 6254812.484425502,256495.6024608207 6254811.147134313,256493.16456397236 6254814.600392999,256488.75631213697 6254811.417978085,256485.962192918 6254809.251228185,256471.02311725362 6254798.315920759,256453.84651982418 6254785.73864191,256451.38635907767 6254783.944307556,256444.25077971778 6254778.629017449),(256482.58921234703 6254766.187189006,256491.14968118898 6254772.399637119,256509.60645276253 6254747.532944434,256499.44298325313 6254740.034017406,256496.10339852932 6254744.672179166,256497.7063991967 6254745.840183803,256482.58921234703 6254766.187189006),(256505.3763121124 6254782.793225339,256520.31538777685 6254793.525380314,256521.1057561615 6254792.425079887,256519.88124176275 6254791.409418085,256521.7848050553 6254788.650204127,256523.16516674118 6254789.513516373,256538.28235359085 6254768.590914982,256526.25984858518 6254759.653120446,256524.57892427422 6254761.938351106,256521.6734855645 6254759.95781783,256505.3763121124 6254782.793225339))",way
telecom_exchange_point.-1111016,-1111016,telephone_office,Orange,,Central téléphonique EYR,Orange,,,,,,exchange,copper,,,,,4,2020-02-09T21:47:00Z,POINT (12947.442194846191 6359092.360470111),"SRID=3857;POLYGON((12924.114957455507 6359106.256501904,12927.621521415494 6359089.066566655,12932.30807197789 6359090.009184325,12934.712572979028 6359081.594183053,12935.258038483911 6359079.571841849,12930.204133601897 6359078.303594223,12929.825647333202 6359078.183624865,12932.263544181573 6359066.426635898,12932.642030450272 6359066.546605089,12942.827763857857 6359069.631527757,12943.206250126552 6359069.648666218,12951.610871681443 6359072.236574448,12968.331059198594 6359077.189593089,12963.143570927628 6359111.329510461,12958.234381383643 6359116.076889492,12924.114957455507 6359106.256501904),(12937.26178931819 6359091.380264761,12944.56434791423 6359093.162669663,12946.768473831937 6359082.708184777,12939.276672101552 6359080.702981785,12937.26178931819 6359091.380264761))",way
telecom_exchange_point.-1085197,-1085197,,Orange,,Central téléphonique,,,,75109PRO,,,exchange,copper,,,,,4,2024-07-31T16:18:52Z,POINT (261317.49913316895 6253210.14715421),"SRID=3857;POLYGON((261274.3255615944 6253197.901467926,261301.12016302833 6253191.977891433,261315.46924539158 6253188.813010833,261353.47371954838 6253180.401542478,261356.85783206852 6253183.160232385,261356.90235986482 6253203.097294148,261356.94688766115 6253217.3477524575,261356.96915155931 6253228.568735921,261335.2284550074 6253231.479762713,261335.4065661927 6253203.215765793,261321.66974102875 6253206.008312185,261327.3581670083 6253232.969125645,261279.6243693561 6253239.468166966,261278.9453204623 6253231.141271175,261274.3255615944 6253197.901467926),(261290.4223599631 6253213.319710743,261291.07914495873 6253216.146109561,261295.2090980672 6253215.198335002,261296.46700831316 6253220.68188928,261292.4149788483 6253221.612739896,261293.49477790896 6253226.31776821,261304.21484487236 6253223.846781789,261301.22035057002 6253210.848728117,261290.4223599631 6253213.319710743))",way
telecom_exchange_point.-1066079,-1066079,telephone_office,Orange,,Central téléphonique,Orange,,,75108ANJ,,,exchange,copper,,,,,3,2020-02-09T19:10:47Z,POINT (258334.26318486524 6252865.330290286),"SRID=3857;POLYGON((258296.6405023651 6252869.318478011,258298.6887809957 6252868.303046863,258312.05825183995 6252862.396624775,258309.53129939898 6252856.117882604,258297.5644541387 6252828.19361398,258342.49300062284 6252808.798994324,258351.4208237845 6252829.649058434,258377.8480708988 6252891.370287773,258361.3727862614 6252898.766034221,258344.8307099295 6252905.9756239345,258332.66348958583 6252911.442054028,258333.2757467852 6252913.049828254,258330.23672468652 6252914.420667577,258320.28476220963 6252918.939361724,258318.05837239372 6252919.954798944,258301.97270597413 6252881.723671678,258309.0637575376 6252878.931232229,258308.55168787998 6252877.306540604,258309.40884795913 6252876.8157484075,258307.34943737945 6252871.755513256,258299.15632285704 6252875.038742407,258298.6887809957 6252874.023310576,258296.6405023651 6252869.318478011),(258319.8951439918 6252853.325451596,258333.10876754895 6252883.483755198,258346.45597449507 6252877.611170261,258341.5022571548 6252866.001403382,258340.5894373303 6252866.086022616,258339.89925648738 6252865.882936454,258339.33152708432 6252865.493687993,258339.0754922555 6252864.985972632,258337.73965836602 6252861.550432837,258337.63947082424 6252861.059641549,258337.75079031507 6252860.535002621,258338.04022099116 6252860.02728756,258338.35191556538 6252859.705734705,258338.74153378315 6252859.502648692,258332.70801738213 6252845.760506768,258320.97494305254 6252850.769954936,258319.8951439918 6252853.325451596))",way
telecom_exchange_point.-949466,-949466,telephone_office,Orange,,Central téléphonique,Orange,,,75105GOB,,,exchange,copper,,,,,3,2020-02-09T19:10:47Z,POINT (261384.39148894593 6247330.534370364),"SRID=3857;POLYGON((261344.55702833587 6247318.658420428,261352.68335116378 6247317.254660944,261417.4935587036 6247305.973855231,261419.31919835263 6247306.904056038,261420.78861563109 6247307.952646155,261421.35634503415 6247308.865934428,261425.26365916102 6247330.818708091,261392.68044420582 6247350.386829332,261379.65606378298 6247361.109570078,261377.2181669346 6247358.809422656,261369.47033037533 6247359.621239321,261368.95826071777 6247356.8137070155,261360.74288229723 6247358.302037277,261359.20667332425 6247348.729372193,261349.94489169025 6247350.386829332,261348.16377983755 6247339.647189346,261344.55702833587 6247318.658420428),(261365.29584947065 6247332.577638488,261367.54450318468 6247346.158622989,261382.50584274728 6247343.554048931,261396.52096663814 6247335.723418763,261395.09607715602 6247327.351586743,261365.29584947065 6247332.577638488))",way
telecom_exchange_point.-538451,-538451,,Orange,,Central téléphonique,Orange,,,75115VAU,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2010,3,2020-02-09T19:10:47Z,POINT (255913.23844191906 6246925.858105235),"SRID=3857;POLYGON((255868.84033180735 6246895.8667264795,255897.0264268762 6246879.614384765,255914.67056616698 6246884.31589144,255923.72084076845 6246899.8241172135,255935.35372755636 6246919.780218315,255956.081416742 6246955.312341807,255919.79126274344 6246976.824485182,255917.13072691348 6246978.092891566,255868.84033180735 6246895.8667264795),(255893.84268943954 6246923.974387914,255908.58139002058 6246949.139449114,255920.53710333176 6246942.188608204,255905.90972224154 6246917.040479619,255893.84268943954 6246923.974387914))",way
telecom_exchange_point.25814577,25814577,,Orange,,Central téléphonique,,,,34172RAB,,,exchange,copper,,,,,7,2019-12-08T15:20:37Z,POINT (432711.88159621845 5406740.516104288),"SRID=3857;POLYGON((432686.74915285606 5406734.394899363,432687.47272954625 5406732.611174991,432717.49559621315 5406716.096363951,432720.6014100063 5406716.7729478115,432736.25293041184 5406744.881975482,432736.2084026155 5406749.064507689,432721.2581950019 5406756.476205444,432719.9557569597 5406757.168169228,432705.09460493876 5406765.194952938,432702.6567080904 5406763.995548033,432686.74915285606 5406734.394899363))",way
telecom_exchange_point.25814624,25814624,telephone_office,Orange,,,,,,34172LEM,,,exchange,copper,,,,,5,2019-03-12T16:00:14Z,POINT (435407.4476015711 5404451.816790647),"SRID=3857;POLYGON((435398.58100417285 5404442.9464885155,435416.03590032924 5404442.66977226,435416.31419905624 5404460.687092504,435398.85930289986 5404460.963809299,435398.58100417285 5404442.9464885155))",way
telecom_exchange_point.30451689,30451689,,Orange,,,Orange,,,66149PRA,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009,5,2020-02-19T21:21:24Z,POINT (269018.98951563024 5253643.027176795),"SRID=3857;POLYGON((269006.3324892154 5253657.465627868,269016.4848267758 5253623.990200216,269031.6465414218 5253628.588715538,269021.4942038615 5253662.06415953,269006.3324892154 5253657.465627868))",way
telecom_exchange_point.31245569,31245569,telephone_office,Orange,,Centrale Téléphonique,Orange,,,,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2008,7,2022-01-18T15:55:14Z,POINT (313284.17513708625 6169740.282700766),"SRID=3857;POLYGON((313261.3403943359 6169743.827775205,313280.8435691229 6169721.487856718,313305.8793226023 6169743.425555602,313293.7121022586 6169757.670844821,313277.348137112 6169743.727220301,313270.3906689374 6169751.553747125,313261.3403943359 6169743.827775205))",way
telecom_exchange_point.34483383,34483383,telephone_office,Orange,,Orange,Orange,,,59067BER,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009,4,2023-06-13T14:22:07Z,POINT (270008.1382482947 6615533.689728382),"SRID=3857;POLYGON((269994.91635915416 6615540.250122915,270004.63455070043 6615519.356586895,270021.35473821755 6615527.116531884,270011.64767862036 6615548.027764112,269994.91635915416 6615540.250122915))",way
telecom_exchange_point.35807275,35807275,,Orange,,Orange,,,,,,,exchange,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2020,11,2024-08-07T20:34:09Z,POINT (707509.7237312351 5925956.397571975),"SRID=3857;POLYGON((707468.1030534959 5925980.203684188,707533.0357124755 5925918.325082223,707544.4570922309 5925930.462898763,707527.8704881028 5925946.185062032,707537.7779227834 5925955.781297875,707524.0299656704 5925968.79895893,707517.5734352043 5925974.92492379,707514.6346006474 5925973.621526652,707506.4637500233 5925966.4202609705,707479.3240581679 5925992.097199244,707468.1030534959 5925980.203684188))",way
telecom_exchange_point.35936056,35936056,,Orange,,Central téléphonique,,,,31555RNG,,,exchange,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009,7,2024-09-26T13:05:15Z,POINT (162777.56210826864 5398252.199032296),"SRID=3857;POLYGON((162768.3538116732 5398251.156164566,162774.9773213754 5398243.397933544,162786.7215276541 5398253.184059689,162780.22046939176 5398261.034476057,162768.3538116732 5398251.156164566))",way
telecom_exchange_point.39500842,39500842,telephone_office,Orange,,Central téléphonique Orange,Orange,,,,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2008,9,2022-10-26T19:47:24Z,POINT (336083.80319352844 6556807.263154694),"SRID=3857;POLYGON((336027.38964401 6556791.890329241,336046.7926312553 6556761.755792171,336140.2230798781 6556822.902515804,336120.84235653095 6556852.896869395,336090.76383011864 6556832.9064718215,336088.7489473353 6556831.590161125,336027.38964401 6556791.890329241))",way
telecom_exchange_point.40645137,40645137,,Orange,,Central téléphonique,Orange,,,,,,exchange,copper,,,,,17,2025-02-19T23:10:17Z,POINT (-50902.93050417214 5832570.73239996),"SRID=3857;POLYGON((-50953.123930049944 5832579.479051849,-50942.248015799436 5832575.175011198,-50937.661652778756 5832573.853171423,-50934.60036678194 5832572.837611725,-50933.26453289242 5832579.46293184,-50900.959616664215 5832571.983252074,-50892.74423824367 5832548.190174991,-50883.15963008637 5832522.833531396,-50879.57514248283 5832525.864073649,-50860.316870575596 5832537.067417079,-50871.59353499294 5832568.775374114,-50878.45081562581 5832566.873215878,-50879.57514248283 5832570.93545261,-50878.45081562581 5832571.322332396,-50878.985149181615 5832573.2406115895,-50880.18739968218 5832573.031051657,-50885.10772117525 5832587.410098549,-50929.245899274785 5832599.177721634,-50927.98798902883 5832603.497894049,-50943.027252235 5832606.883105257,-50945.988350690095 5832607.560147655,-50953.123930049944 5832579.479051849))",way
telecom_exchange_point.40645138,40645138,,Orange,,Central téléphonique,Orange,,,,,,exchange,copper,,,,,14,2025-02-19T23:10:17Z,POINT (-48598.521890391974 5833480.26267252),"SRID=3857;POLYGON((-48614.40161602498 5833467.671651719,-48599.62951959671 5833460.030002352,-48582.64216530166 5833492.853673926,-48597.41426172992 5833500.495351741,-48614.40161602498 5833467.671651719))",way
telecom_exchange_point.40917528,40917528,telephone_office,Orange,,Central téléphonique,Orange,,,,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009,8,2020-02-11T21:06:10Z,POINT (865210.9515707288 6204156.354380592),"SRID=3857;POLYGON((865183.6206502661 6204142.525458022,865197.6580380551 6204131.587940729,865207.4986810411 6204144.2249812,865217.996109023 6204136.0470806975,865234.3823380677 6204157.097618298,865223.7401947479 6204165.393328079,865230.8646421587 6204174.54722413,865224.9090494013 6204179.191483978,865216.9831016568 6204185.367007345,865199.0829275373 6204162.381294585,865183.6206502661 6204142.525458022))",way
telecom_exchange_point.41081884,41081884,,Orange,,Orange,,,,,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009,6,2024-11-23T13:54:40Z,POINT (506562.89744312613 5985767.822538026),"SRID=3857;POLYGON((506557.46155539696 5985759.681140294,506565.94410059537 5985758.66404943,506568.24841405486 5985776.135062273,506559.9217161435 5985776.938893756,506557.46155539696 5985759.681140294))",way
telecom_exchange_point.41157276,41157276,telephone_office,Orange,,Orange,Orange,,,21554STJ,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2020,6,2023-06-21T12:22:05Z,POINT (585768.2963942591 5959151.899148665),"SRID=3857;POLYGON((585750.6037156441 5959148.44921195,585759.8543653289 5959135.709018425,585785.9476539709 5959155.236357316,585776.7304001333 5959168.140125395,585750.6037156441 5959148.44921195))",way
telecom_exchange_point.41407463,41407463,,Orange,,,Orange,,,38412WLP,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2020,6,2020-04-07T08:28:45Z,POINT (637660.2568383304 5682569.433583829),"SRID=3857;POLYGON((637651.1678318355 5682564.5552240815,637668.1551861305 5682562.51054642,637669.5355478164 5682574.097059352,637652.3144225907 5682576.4904448725,637651.1678318355 5682564.5552240815))",way
telecom_exchange_point.41506192,41506192,,Orange,,Central téléphonique,Orange,,,,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009,5,2020-02-22T22:53:23Z,POINT (622061.7132422981 5679716.210781586),"SRID=3857;POLYGON((622033.6221348913 5679727.260998631,622046.4238763326 5679721.794406795,622044.943327105 5679718.340156284,622040.3903599315 5679720.273268794,622034.9357048827 5679707.470367481,622074.4318602162 5679690.626974432,622078.7510564589 5679700.752020644,622071.6043451501 5679703.794290287,622074.0422419984 5679709.498548647,622089.3152761353 5679702.986187313,622095.8497302447 5679718.308465918,622039.9673458666 5679742.13965243,622033.6221348913 5679727.260998631))",way
telecom_exchange_point.41795582,41795582,,Orange,YCL38,Central téléphonique,,,,38317YCL,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009,7,2020-08-20T12:16:07Z,POINT (634291.1117197642 5642201.806268025),"SRID=3857;POLYGON((634264.528359279 5642199.707027895,634270.5841395782 5642198.381581368,634296.9779908453 5642192.6379820155,634296.4659211877 5642187.856911722,634308.1544677209 5642185.521604382,634309.2676626289 5642189.923974803,634311.6944275281 5642189.482159753,634312.7519626907 5642193.537391562,634314.6889218305 5642193.837194765,634315.6796652984 5642198.96540898,634313.909685395 5642199.3283288665,634315.1341997937 5642206.144913795,634268.0571871372 5642215.975321982,634264.528359279 5642199.707027895))",way
telecom_exchange_point.42463191,42463191,telephone_office,Orange,,Central téléphonique,,,,,,,exchange,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2008,6,2022-09-08T02:48:51Z,POINT (340612.60779302765 6556762.08409037),"SRID=3857;POLYGON((340571.0505080246 6556769.530737908,340604.69125814235 6556740.150958848,340620.0088200754 6556726.724750563,340635.1705347215 6556737.044500873,340649.86470750626 6556747.083454037,340645.01117770764 6556754.3845185535,340614.6432206193 6556799.1036797175,340571.0505080246 6556769.530737908))",way
telecom_exchange_point.42516026,42516026,telephone_office,Orange,,Brest Nord,,,,29019BRN,,,exchange,copper,,,,BMO2009,7,2023-02-11T21:57:09Z,POINT (-501145.65516004764 6175639.566781282),"SRID=3857;POLYGON((-501154.3140349166 6175609.60261703,-501137.2710208762 6175609.367827523,-501136.98159020016 6175653.608992848,-501139.70891772455 6175653.625763615,-501139.6755218773 6175658.438974757,-501136.836874862 6175658.422203979,-501136.692159524 6175669.977275942,-501153.95781254605 6175670.09467153,-501154.08026398596 6175658.254496232,-501153.36781924486 6175658.254496232,-501153.4123470412 6175653.894095871,-501154.0246042406 6175653.894095871,-501154.3140349166 6175609.60261703))",way
telecom_exchange_point.42521485,42521485,telephone_office,Orange,,Brest Est,,,,29019BRE,,,exchange,,,,,BMO2009,7,2023-01-27T13:45:45Z,POINT (-496215.51951722224 6175024.745159819),"SRID=3857;POLYGON((-496262.52372734423 6175021.592564189,-496248.07445743924 6174990.552233786,-496168.5478132166 6175027.948215736,-496182.8189719363 6175058.921603864,-496262.52372734423 6175021.592564189))",way
telecom_exchange_point.42531407,42531407,,Orange,,Brest zone portuaire,,,,29019BC4,,,exchange,copper,,,,BMO2009,3,2020-01-16T00:44:49Z,POINT (-497997.4089766417 6171198.795278142),"SRID=3857;POLYGON((-498002.68113937386 6171195.343958079,-497999.7757006641 6171192.946992117,-497992.13918359566 6171202.249905732,-497995.0334903563 6171204.646874311,-498002.68113937386 6171195.343958079))",way
telecom_exchange_point.42546428,42546428,telephone_office,Orange,,Brest Ouest,,,,29019BRO,,,exchange,copper,,,,"Brest Metropole Oceane, 2009",5,2020-01-16T00:44:49Z,POINT (-503700.73561646626 6171112.998304759),"SRID=3857;POLYGON((-503730.7479895815 6171140.44857786,-503719.1707625391 6171111.7187395245,-503703.3299989992 6171072.412320471,-503670.72452014586 6171085.536789084,-503682.958532184 6171115.9092,-503698.14251072815 6171153.589913055,-503730.7479895815 6171140.44857786))",way
telecom_exchange_point.42582449,42582449,,Orange,,Gouesnou,Orange,,,29061GNO,,,exchange,copper,,,,,7,2020-01-16T00:44:49Z,POINT (-497393.48647975345 6182372.591010672),"SRID=3857;POLYGON((-497400.5762775711 6182371.202239922,-497391.3924195807 6182365.613174383,-497386.34964664775 6182373.971598085,-497395.6670880272 6182379.5606691055,-497400.5762775711 6182371.202239922))",way
